TIMESTAMP,PARTIDA_ID,PLAYER_ID,EQUIPO_ID,POS_X,POS_Y,SIZE,TOTAL_PLAYERS,MODO_JUEGO
2025-11-29 17:29:31.748,1,3,2,61,47,2,10,DUO
2025-11-29 17:29:31.748,1,4,2,75,81,2,10,DUO
2025-11-29 17:29:31.748,1,5,3,44,28,2,10,DUO
2025-11-29 17:29:31.748,1,6,3,29,46,2,10,DUO
2025-11-29 17:29:31.748,1,7,4,84,50,2,10,DUO
2025-11-29 17:29:31.748,1,8,4,64,70,2,10,DUO
2025-11-29 17:29:31.748,1,9,5,87,47,2,10,DUO
2025-11-29 17:29:31.748,1,10,5,11,46,2,10,DUO
2025-11-29 17:29:31.848,1,1,1,51,34,2,10,DUO
2025-11-29 17:29:31.848,1,2,1,90,62,2,10,DUO
2025-11-29 17:29:31.848,1,3,2,61,46,2,10,DUO
2025-11-29 17:29:31.848,1,4,2,75,80,2,10,DUO
2025-11-29 17:29:31.848,1,5,3,44,27,2,10,DUO
2025-11-29 17:29:31.848,1,6,3,29,45,2,10,DUO
2025-11-29 17:29:31.848,1,7,4,84,49,2,10,DUO
2025-11-29 17:29:31.848,1,8,4,64,69,2,10,DUO
2025-11-29 17:29:31.848,1,9,5,87,46,2,10,DUO
2025-11-29 17:29:31.848,1,10,5,11,45,2,10,DUO
2025-11-29 17:29:31.949,1,1,1,51,33,2,10,DUO
2025-11-29 17:29:31.949,1,2,1,90,61,2,10,DUO
2025-11-29 17:29:31.949,1,3,2,61,45,2,10,DUO
2025-11-29 17:29:31.949,1,4,2,75,79,2,10,DUO
2025-11-29 17:29:31.949,1,5,3,44,26,2,10,DUO
2025-11-29 17:29:31.949,1,6,3,29,44,2,10,DUO
2025-11-29 17:29:31.949,1,7,4,84,48,2,10,DUO
2025-11-29 17:29:31.949,1,8,4,64,68,2,10,DUO
2025-11-29 17:29:31.949,1,9,5,87,45,2,10,DUO
2025-11-29 17:29:31.949,1,10,5,11,44,2,10,DUO
2025-11-29 17:29:32.049,1,1,1,51,32,2,10,DUO
2025-11-29 17:29:32.049,1,2,1,90,60,2,10,DUO
2025-11-29 17:29:32.049,1,3,2,61,44,2,10,DUO
2025-11-29 17:29:32.049,1,4,2,75,78,2,10,DUO
2025-11-29 17:29:32.049,1,5,3,44,25,2,10,DUO
2025-11-29 17:29:32.049,1,6,3,29,43,2,10,DUO
2025-11-29 17:29:32.049,1,7,4,84,47,2,10,DUO
2025-11-29 17:29:32.049,1,8,4,64,67,2,10,DUO
2025-11-29 17:29:32.049,1,9,5,87,44,2,10,DUO
2025-11-29 17:29:32.049,1,10,5,11,43,2,10,DUO
2025-11-29 17:29:32.150,1,1,1,51,31,2,10,DUO
2025-11-29 17:29:32.150,1,2,1,90,59,2,10,DUO
2025-11-29 17:29:32.150,1,3,2,61,43,2,10,DUO
2025-11-29 17:29:32.150,1,4,2,75,77,2,10,DUO
2025-11-29 17:29:32.150,1,5,3,44,24,2,10,DUO
2025-11-29 17:29:32.150,1,6,3,29,42,2,10,DUO
2025-11-29 17:29:32.150,1,7,4,84,46,2,10,DUO
2025-11-29 17:29:32.150,1,8,4,64,66,2,10,DUO
2025-11-29 17:29:32.150,1,9,5,87,43,2,10,DUO
2025-11-29 17:29:32.150,1,10,5,11,42,2,10,DUO
2025-11-29 17:29:32.250,1,1,1,51,30,2,10,DUO
2025-11-29 17:29:32.250,1,2,1,90,58,2,10,DUO
2025-11-29 17:29:32.250,1,3,2,61,42,2,10,DUO
2025-11-29 17:29:32.250,1,4,2,75,76,2,10,DUO
2025-11-29 17:29:32.250,1,5,3,44,23,2,10,DUO
2025-11-29 17:29:32.250,1,6,3,29,41,2,10,DUO
2025-11-29 17:29:32.250,1,7,4,84,45,2,10,DUO
2025-11-29 17:29:32.250,1,8,4,64,65,2,10,DUO
2025-11-29 17:29:32.250,1,9,5,87,42,2,10,DUO
2025-11-29 17:29:32.250,1,10,5,11,41,2,10,DUO
2025-11-29 17:29:32.351,1,1,1,51,29,2,10,DUO
2025-11-29 17:29:32.351,1,2,1,90,57,2,10,DUO
2025-11-29 17:29:32.351,1,3,2,61,41,2,10,DUO
2025-11-29 17:29:32.351,1,4,2,75,75,2,10,DUO
2025-11-29 17:29:32.351,1,5,3,44,22,2,10,DUO
2025-11-29 17:29:32.351,1,6,3,29,40,2,10,DUO
2025-11-29 17:29:32.351,1,7,4,84,44,2,10,DUO
2025-11-29 17:29:32.351,1,8,4,64,64,2,10,DUO
2025-11-29 17:29:32.351,1,9,5,87,41,2,10,DUO
2025-11-29 17:29:32.351,1,10,5,11,40,2,10,DUO
2025-11-29 17:29:32.452,1,1,1,51,28,2,10,DUO
2025-11-29 17:29:32.452,1,2,1,90,56,2,10,DUO
2025-11-29 17:29:32.452,1,3,2,61,40,2,10,DUO
2025-11-29 17:29:32.452,1,4,2,75,74,2,10,DUO
2025-11-29 17:29:32.452,1,5,3,44,21,2,10,DUO
2025-11-29 17:29:32.452,1,6,3,29,39,2,10,DUO
2025-11-29 17:29:32.452,1,7,4,84,43,2,10,DUO
2025-11-29 17:29:32.452,1,8,4,64,63,2,10,DUO
2025-11-29 17:29:32.452,1,9,5,87,40,2,10,DUO
2025-11-29 17:29:32.452,1,10,5,11,39,2,10,DUO
2025-11-29 17:29:32.552,1,1,1,51,27,2,10,DUO
2025-11-29 17:29:32.552,1,2,1,90,55,2,10,DUO
2025-11-29 17:29:32.552,1,3,2,61,39,2,10,DUO
2025-11-29 17:29:32.552,1,4,2,75,73,2,10,DUO
2025-11-29 17:29:32.552,1,5,3,44,20,2,10,DUO
2025-11-29 17:29:32.552,1,6,3,29,38,2,10,DUO
2025-11-29 17:29:32.552,1,7,4,84,42,2,10,DUO
2025-11-29 17:29:32.552,1,8,4,64,62,2,10,DUO
2025-11-29 17:29:32.552,1,9,5,87,39,2,10,DUO
2025-11-29 17:29:32.552,1,10,5,11,38,2,10,DUO
2025-11-29 17:29:32.652,1,1,1,51,26,2,10,DUO
2025-11-29 17:29:32.652,1,2,1,90,54,2,10,DUO
2025-11-29 17:29:32.652,1,3,2,61,38,2,10,DUO
2025-11-29 17:29:32.652,1,4,2,75,72,2,10,DUO
2025-11-29 17:29:32.652,1,5,3,44,19,2,10,DUO
2025-11-29 17:29:32.652,1,6,3,29,37,2,10,DUO
